,class,sms,cleaned_sms
400,spam,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xå£150pw to eå£nd txt stop",free rington text first 87131 poli text get 87131 true tone help 0845 2814032 16 1st free tone 3x 150pw e nd txt stop
401,ham,Dear how is chechi. Did you talk to her,dear chechi talk
402,ham,The hair cream has not been shipped.,hair cream ship
403,ham,None of that's happening til you get here though,none happen til get though
404,ham,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour",yep great loxahatche xma tree burn lt gt start hour
405,ham,"Haha get used to driving to usf man, I know a lot of stoners",haha get use drive usf man know lot stoner
406,ham,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,well slightli disastr class pm fav darl hope day ok coffe wld good stay late tomorrow time place alway
407,ham,Hello! Good week? Fancy a drink or something later?,hello good week fanci drink someth later
408,ham,Headin towards busetop,headin toward busetop
409,ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,messag text miss sender name miss number miss sent date miss miss u lot that everyth miss sent via fullonsm com
410,ham,Come by our room at some point so we can iron out the plan for this weekend,come room point iron plan weekend
411,ham,Cos i want it to be your thing,co want thing
412,ham,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... ",oki go yan jiu skip ard oso go cine den go mrt one blah blah blah
413,ham,Bring home some Wendy =D,bring home wendi
414,spam,100 dating service cal;l 09064012103 box334sk38ch,100 date servic cal l 09064012103 box334sk38ch
415,ham,Whatsup there. Dont u want to sleep,whatsup dont u want sleep
416,ham,Alright i have a new goal now,alright new goal
417,spam,FREE entry into our å£250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,free entri 250 weekli competit text word win 80086 18 c www txttowin co uk
418,ham,"Alright, I'll head out in a few minutes, text me where to meet you",alright head minut text meet
419,spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,send logo 2 ur lover 2 name join heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo pobox36504w45wq txtno 4 ad 150p
420,ham,Yes:)from last week itself i'm taking live call.,ye last week take live call
421,spam,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,someon contact date servic enter phone fanci find call landlin 09111032124 pobox12n146tf150p
422,ham,Siva is in hostel aha:-.,siva hostel aha
423,spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,urgent mobil number award 2000 prize guarante call 09058094455 land line claim 3030 valid 12hr
424,ham,Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..,send ur friend receiv someth ur voic speak express 1 childish 2 naughti 3 sentiment 4 rowdi 5 ful attitud 6 romant 7 shi 8 attract 9 funni lt gt irrit lt gt lovabl repli
425,ham,Ok. She'll be ok. I guess,ok ok guess
426,ham,aathi..where are you dear..,aathi dear
427,ham,Any pain on urination any thing else?,pain urin thing els
428,ham,7 at esplanade.. Do Ì_ mind giving me a lift cos i got no car today..,7 esplanad mind give lift co got car today
429,ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,wnt buy bmw car urgent vri urgent hv shortag lt gt lac sourc arng di amt lt gt lac that prob
430,ham,At home watching tv lor.,home watch tv lor
431,ham,Does she usually take fifteen fucking minutes to respond to a yes or no question,usual take fifteen fuck minut respond ye question
432,spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,congrat nokia 3650 video camera phone call 09066382422 call cost 150ppm ave call 3min vari mobil 16 close 300603 post bcm4284 ldn wc1n3xx
433,ham,Booked ticket for pongal?,book ticket pongal
434,ham,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th,avail like right around hillsborough amp lt gt th
435,ham,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?,messag sent askin lt gt dollar shoul pay lt gt lt gt
436,ham,"Ask g or iouri, I've told the story like ten times already",ask g iouri told stori like ten time alreadi
437,ham,How long does applebees fucking take,long applebe fuck take
438,ham,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",hi hope u get txt journey hasnt gd 50 min late think
439,ham,But i have to. I like to have love and arrange.,like love arrang
440,ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,ye realli great bhaji told kalli best cricket sachin world tough get
441,ham,You were supposed to wake ME up &gt;:(,suppos wake gt
442,ham,Oic... I saw him too but i tot he din c me... I found a group liao...,oic saw tot din c found group liao
444,ham,\HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS,hey hey wereth monkeespeopl say monkeyaround howdi gorgeou
445,ham,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?",sorri batteri die come get gram place
446,ham,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. ",well done blimey exercis yeah kinda rememb wot hmm
447,ham,I wont get concentration dear you know you are my mind and everything :-),wont get concentr dear know mind everyth
448,ham,LOL ... Have you made plans for new years?,lol made plan new year
449,ham,10 min later k...,10 min later k
450,ham,hanks lotsly!,hank lotsli
451,ham,Thanks for this hope you had a good day today,thank hope good day today
452,ham,K:)k:)what are detail you want to transfer?acc no enough?,k k detail want transfer acc enough
453,ham,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,ok tell stay yeah tough optimist thing improv month
454,spam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",loan purpos 500 75 000 homeown tenant welcom previous refus still help call free 0800 1956669 text back help
455,ham,Si si. I think ill go make those oreo truffles.,si si think ill go make oreo truffl
456,ham,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONåÕT LIKE ME LIKE THAT SO DONåÕT WORRY.",look ami ure beauti intellig woman like u lot know u like like worri
457,ham,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl,hope result consist intellig kind start ask practicum link keep ear open best ttyl
458,ham,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya",1 20 call cost guess isnt bad miss ya need ya want ya love ya
459,ham,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,go thru differ feel waver decis cope individu time heal everyth believ
460,ham,Where did u go? My phone is gonna die you have to stay in here,u go phone gonna die stay
461,ham,Great. Never been better. Each day gives even more reasons to thank God,great never better day give even reason thank god
462,spam,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",upgrdcentr orang custom may claim free camera phone upgrad loyalti call 0207 153 9153 offer end 26th juli c appli opt avail
463,ham,"Sorry, I'll call later ok bye",sorri call later ok bye
464,ham,Ok i am on the way to railway,ok way railway
465,ham,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :),great princess love give receiv oral doggi style fave posit enjoy make love lt gt time per night
466,ham,They don't put that stuff on the roads to keep it from getting slippery over there?,put stuff road keep get slipperi
467,ham,When are you going to ride your bike?,go ride bike
468,ham,"Yup, no need. I'll jus wait 4 e rain 2 stop.",yup need ju wait 4 e rain 2 stop
469,ham,There are many company. Tell me the language.,mani compani tell languag
470,spam,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,okmail dear dave final notic collect 4 tenerif holiday 5000 cash award call 09061743806 landlin tc sae box326 cw25wx 150ppm
471,ham,"How long has it been since you screamed, princess?",long sinc scream princess
472,ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",noth meant money enter account bank remov flat rate someon transfer lt gt account lt gt dollar got remov bank differ charg also differ sure trust 9ja person send account detail co
473,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network txting moan 69888nyt ec2a 31p msg 150p
474,ham,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),nice line said broken heart plz cum 1 time infront wise trust u good 9t
475,ham,Ok I'm gonna head up to usf in like fifteen minutes,ok gonna head usf like fifteen minut
476,ham,Love you aathi..love u lot..,love aathi love u lot
477,ham,Tension ah?what machi?any problem?,tension ah machi problem
478,ham,"K, can I pick up another 8th when you're done?",k pick anoth 8th done
479,ham,When're you guys getting back? G said you were thinking about not staying for mcr,guy get back g said think stay mcr
480,ham,"Almost there, see u in a sec",almost see u sec
481,ham,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?",yo carlo friend alreadi ask work weekend
482,ham,Watching tv lor...,watch tv lor
483,ham,Thank you baby! I cant wait to taste the real thing...,thank babi cant wait tast real thing
484,ham,You should change your fb to jaykwon thuglyfe falconerf,chang fb jaykwon thuglyf falconerf
485,ham,If we win its really no 1 side for long time.,win realli 1 side long time
486,spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",free messag activ 500 free text messag repli messag word free term condit visit www 07781482378 com
487,ham,Dear reached railway. What happen to you,dear reach railway happen
488,ham,"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2",depend qualiti want type sent boy fade glori 6 want ralph mayb 2
489,ham,I think i've fixed it can you send a test message?,think fix send test messag
490,ham,"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card",sorri man account dri would want could trade back half could buy shit credit card
491,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420 ip4 5we 150pm dont miss
492,ham,"Sorry,in meeting I'll call later",sorri meet call later
493,ham,What class of  &lt;#&gt;  reunion?,class lt gt reunion
494,ham,Are you free now?can i call now?,free call
495,ham,Got meh... When?,got meh
496,ham,Nope... Think i will go for it on monday... Sorry i replied so late,nope think go monday sorri repli late
497,ham,Some of them told accenture is not confirm. Is it true.,told accentur confirm true
498,ham,"Kate jackson rec center before 7ish, right?",kate jackson rec center 7ish right
499,ham,Dear i have reache room,dear reach room
500,ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",fight world easi u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose
501,ham,When can Ì_ come out?,come
502,ham,Check with nuerologist.,check nuerologist
503,ham,Lolnice. I went from a fish to ..water.?,lolnic went fish water
504,spam,+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,123 congratul week competit draw u 1450 prize claim call 09050002311 b4280703 cs stop sm 08718727868 18 150ppm
505,ham,No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.,wait e car dat bore wat co wait outsid got noth 2 home stuff watch tv wat
506,ham,"Maybe westshore or hyde park village, the place near my house?",mayb westshor hyde park villag place near hous
507,ham,You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|,know anthoni bring money school fee pay rent stuff like that need help friend need
508,ham,What's the significance?,signific
509,ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,opinion 1 2 jada 3 kusruthi 4 lovabl 5 silent 6 spl charact 7 matur 8 stylish 9 simpl pl repli
510,ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",8 latest g still scroung ammo want give new ak tri
511,ham,Prabha..i'm soryda..realy..frm heart i'm sory,prabha soryda reali frm heart sori
512,ham,Lol ok your forgiven :),lol ok forgiven
513,ham,No..jst change tat only..,jst chang tat
514,spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",guarante latest nokia phone 40gb ipod mp3 player 500 prize txt word collect 83355 ibhltd ldnw15h 150p mtmsgrcvd18
515,ham,S:)no competition for him.,competit
516,spam,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,boltblu tone 150p repli poli mono eg poly3 1 cha cha slide 2 yeah 3 slow jamz 6 toxic 8 come stop 4 tone txt
517,spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,credit top http www bubbletext com renew pin tgxxrz
518,ham,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. ",way transport less problemat sat night way u want ask n join bday feel free need know definit no book fri
519,ham,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now,usual person unconsci children adult may behav abnorm call
520,ham,But that's on ebay it might be less elsewhere.,ebay might less elsewher
521,ham,Shall i come to get pickle,shall come get pickl
522,ham,Were gonna go get some tacos,gonna go get taco
523,ham,"That's very rude, you on campus?",rude campu
524,spam,"URGENT!: Your Mobile No. was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",urgent mobil award 2 000 bonu caller prize 02 09 03 2nd attempt contact call 0871 872 9755 box95qu
525,ham,Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,hi b ard 4 christma enjoy n merri x ma
526,spam,"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X",today offer claim ur 150 worth discount voucher text ye 85023 savamob member offer mobil cs 08717898035 3 00 sub 16 unsub repli x
527,ham,Yes! How is a pretty lady like you single?,ye pretti ladi like singl
528,spam,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,reciev tone within next 24hr term condit pleas see channel u teletext pg 750
529,ham,Jay says that you're a double-faggot,jay say doubl faggot
530,spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,privat 2003 account statement 07815296484 show 800 un redeem point call 08718738001 identifi code 41782 expir 18 11 04
531,ham,What Today-sunday..sunday is holiday..so no work..,today sunday sunday holiday work
533,ham,I'll be late...,late
534,ham,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.",call hope l8r malaria know miss guy miss bani big pl give love especi great day
535,ham,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",good afternoon love goe day hope mayb got lead job think boytoy send passion kiss across sea
536,ham,"Probably gonna be here for a while, see you later tonight &lt;)",probabl gonna see later tonight lt
537,ham,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.,mayb fat finger press button know
538,ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,ummmmmaah mani mani happi return day dear sweet heart happi birthday dear
539,ham,"I am in tirupur da, once you started from office call me.",tirupur da start offic call
540,spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,www applausestor com monthlysubscript 50p msg max6 month csc web age16 2stop txt stop
541,ham,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'",famou quot develop abil listen anyth uncondit without lose temper self confid mean marri
542,ham,But am going to college pa. What to do. are else ill come there it self. Pa.,go colleg pa els ill come self pa
543,ham,4 oclock at mine. Just to bash out a flat plan.,4 oclock mine bash flat plan
544,ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,girl stay bed girl need recoveri time id rather pass fun coop bed
545,ham,Then any special there?,special
546,ham,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,know need get hotel got invit apologis cali sweet come english bloke weddin
547,ham,"Sorry that took so long, omw now",sorri took long omw
548,ham,Wait  &lt;#&gt;  min..,wait lt gt min
549,ham,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.,ok give 5 minut think see btw alibi cut hair whole time
550,ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",imagin final get sink bath put pace mayb even eat left also imagin feel cage cock surround bath water remind alway own enjoy cuck
551,ham,"Hurry up, I've been weed-deficient for like three days",hurri weed defici like three day
552,ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo",sure get acknowledg astoundingli tactless gener faggi demand blood oath fo
553,ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,ok everi night take warm bath drink cup milk see work magic still need loos weight know
554,ham,IÛ÷ll have a look at the frying pan in case itÛ÷s cheap or a book perhaps. No thatÛ÷s silly a frying pan isnÛ÷t likely to be a book,look fri pan case cheap book perhap silli fri pan like book
555,ham,O. Well uv causes mutations. Sunscreen is like essential thesedays,well uv caus mutat sunscreen like essenti theseday
556,ham,Having lunch:)you are not in online?why?,lunch onlin
557,ham,I know that my friend already told that.,know friend alreadi told
558,ham,Hi Princess! Thank you for the pics. You are very pretty. How are you?,hi princess thank pic pretti
559,ham,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ",aiyo u alway c ex one dunno abt mei repli first time u repli fast lucki workin huh got bao ur sugardad ah gee
560,ham,Hi msg me:)i'm in office..,hi msg offic
561,ham,Thanx 4 e brownie it's v nice...,thanx 4 e browni v nice
562,ham,Geeeee ... I love you so much I can barely stand it,geeeee love much bare stand
563,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm ,gent tri contact last weekend draw show 1000 prize guarante call 09064012160 claim code k52 valid 12hr 150ppm
564,ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...",fuck babe miss alreadi know let send money toward net need want crave
565,ham,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",ill call u 2mrw ninish address icki american freek wont stop callin 2 bad jen k eh
566,ham,Oooh bed ridden ey? What are YOU thinking of?,oooh bed ridden ey think
567,ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",anyway go gym whatev love smile hope ok good day babe miss much alreadi
568,ham,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,love daddi make scream pleasur go slap ass dick
569,ham,WOT U WANNA DO THEN MISSY?,wot u wanna missi
570,ham,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...,yar lor wait 4 mum 2 finish sch lunch lor whole morn stay home clean room room quit clean hee
571,ham,Do you know where my lab goggles went,know lab goggl went
572,ham,Can you open the door?,open door
573,ham,Waiting for your call.,wait call
574,ham,Nope i waiting in sch 4 daddy... ,nope wait sch 4 daddi
575,spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",1 000 cash 2 000 prize claim call09050000327
576,ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",tire argu week week want
577,ham,ÌÏ wait 4 me in sch i finish ard 5..,wait 4 sch finish ard 5
578,spam,"our mobile number has won å£5000, to claim calls us back or ring the claims hot line on 09050005321.",mobil number 5000 claim call us back ring claim hot line 09050005321
579,ham,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",arngd marriag u r walkin unfortuntli snake bite u bt love marriag danc frnt snake amp sayin bite bite
580,ham,Huh so early.. Then Ì_ having dinner outside izzit?,huh earli dinner outsid izzit
581,ham,Ok anyway no need to change with what you said,ok anyway need chang said
582,spam,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,tri contact repli offer 750 min 150 textand new video phone call 08002988890 repli free deliveri tomorrow
583,ham,my ex-wife was not able to have kids. Do you want kids one day?,ex wife abl kid want kid one day
584,ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,scotland hope show jjc tendenc take care live dream
585,ham,Tell them u have a headache and just want to use 1 hour of sick time.,tell u headach want use 1 hour sick time
586,ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... ",dun thk quit yet hmmm go jazz yogasana oso go meet em lesson den
587,ham,"\Pete can you please ring meive hardly gotany credit\""""",pete pleas ring meiv hardli gotani credit
588,ham,Ya srsly better than yi tho,ya srsli better yi tho
589,ham,"I'm in a meeting, call me later at",meet call later
590,spam,"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",ur chanc win 250 wkli shop spree txt shop 80878 c www txt 2 shop com custcar 08715705022 1x150p wk
591,spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,special select receiv 2000 pound award call 08712402050 line close cost 10ppm 16 cs appli ag promo
592,spam,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,privat 2003 account statement 07753741225 show 800 un redeem point call 08715203677 identifi code 42478 expir 24 10 04
593,ham,You still at grand prix?,still grand prix
594,ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",met stranger choos friend long world stand friendship never end let friend forev gud nitz
595,ham,I am great! How are you?,great
596,ham,Gud mrng dear have a nice day,gud mrng dear nice day
597,spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,import custom servic announc call freephon 0800 542 0825
598,ham,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,exhaust train morn much wine pie sleep well
599,ham,I'm going out to buy mum's present ar.,go buy mum present ar
600,ham,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,mind blastin tsunami occur rajnik stop swim indian ocean
601,ham,If u sending her home first it's ok lor. I'm not ready yet.,u send home first ok lor readi yet
602,ham,Speaking of does he have any cash yet?,speak cash yet
603,ham,Be happy there. I will come after noon,happi come noon
604,ham,Meet after lunch la...,meet lunch la
605,ham,TaKe CaRE n gET WeLL sOOn,take care n get well soon
606,spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,xclusiv clubsaisai 2morow 28 5 soire special zouk nichol pari free rose 2 ladi info 07946746291 07880867867
607,ham,what I meant to say is cant wait to see u again getting bored of this bridgwater banter,meant say cant wait see u get bore bridgwat banter
608,ham,Neva mind it's ok..,neva mind ok
609,ham,"It's fine, imma get a drink or somethin. Want me to come find you?",fine imma get drink somethin want come find
610,spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,22 day kick euro2004 u kept date latest news result daili remov send get txt stop 83222
611,ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,valentin game send di msg ur friend 5 answer r someon realli love u que colour suit best rpli
612,ham,I have many dependents,mani depend
613,ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,thanx4 today cer nice 2 catch ave 2 find time often oh well take care c u soon c
614,ham,I called and said all to him:)then he have to choose this future.,call said choos futur
615,ham,"\Happy valentines day\"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...""",happi valentin day know earli hundr handsom beauti wish thought finish aunti uncl 1st
616,ham,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,like v shock leh co tell shuhui like tell leona also like dat almost know liao got ask abt ur reaction lor
617,ham,For my family happiness..,famili happi
618,ham,I come n pick Ì_ up... Come out immediately aft ur lesson...,come n pick come immedi aft ur lesson
619,ham,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.,let snow let snow kind weather bring ppl togeth friendship grow
620,ham,Dear we got  &lt;#&gt;  dollars hi hi,dear got lt gt dollar hi hi
621,ham,Good words.... But words may leave u in dismay many times.,good word word may leav u dismay mani time
622,ham,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED,make sure alex know birthday fifteen minut far concern
623,ham,"sorry, no, have got few things to do. may be in pub later.",sorri got thing may pub later
624,ham,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",nah straight bring bud drink someth actual littl use straight cash
625,ham,"Haha good to hear, I'm officially paid and on the market for an 8th",haha good hear offici paid market 8th
626,ham,How many licks does it take to get to the center of a tootsie pop?,mani lick take get center tootsi pop
627,ham,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,yup thk r e teacher said make face look longer darren ask 2 cut short
628,spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,new textbuddi chat 2 horni guy ur area 4 25p free 2 receiv search postcod gaytextbuddi com txt one name 89693
629,spam,Todays Vodafone numbers ending with 4882 are selected to a receive a å£350 award. If your number matches call 09064019014 to receive your å£350 award.,today vodafon number end 4882 select receiv 350 award number match call 09064019014 receiv 350 award
630,ham,Please dont say like that. Hi hi hi,pleas dont say like hi hi hi
631,ham,Thank u!,thank u
632,ham,Oh that was a forwarded message. I thought you send that to me,oh forward messag thought send
633,ham,Got it. Seventeen pounds for seven hundred ml ÛÒ hope ok.,got seventeen pound seven hundr ml hope ok
634,spam,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",dear voucher holder 2 claim week offer pc go http www e tlp co uk expressoff ts cs appli 2 stop text txt stop 80062
635,ham,Me n him so funny...,n funni
636,ham,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",sweetheart hope kind day one load reason smile biola
637,ham,When Ì_ login dat time... Dad fetching Ì_ home now?,login dat time dad fetch home
638,ham,"What will we do in the shower, baby?",shower babi
